t,roll,pitch,yaw,ax,ay,az,x,y,z
0.000,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
0.020,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
0.040,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
0.060,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
0.080,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
0.100,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
0.120,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
0.140,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
0.160,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
0.180,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
0.200,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
0.220,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
0.240,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
0.260,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
0.280,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
0.300,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
0.320,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
0.340,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
0.360,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
0.380,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
0.400,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
0.420,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
0.440,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
0.460,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
0.480,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
0.500,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
0.520,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
0.540,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
0.560,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
0.580,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
0.600,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
0.620,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
0.640,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
0.660,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
0.680,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
0.700,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
0.720,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
0.740,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
0.760,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
0.780,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
0.800,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
0.820,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
0.840,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
0.860,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
0.880,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
0.900,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
0.920,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
0.940,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
0.960,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
0.980,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
1.000,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
1.020,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
1.040,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
1.060,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
1.080,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
1.100,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
1.120,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
1.140,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
1.160,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
1.180,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
1.200,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
1.220,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
1.240,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
1.260,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
1.280,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
1.300,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
1.320,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
1.340,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
1.360,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
1.380,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
1.400,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
1.420,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
1.440,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
1.460,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
1.480,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
1.500,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
1.520,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
1.540,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
1.560,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
1.580,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
1.600,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
1.620,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
1.640,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
1.660,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
1.680,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
1.700,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
1.720,nan,nan,nan,0.0000,0.0000,0.0000,nan,nan,nan
